FID,Species,Longitude,Latitude,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,potveg
76,L_maackii,99.958012,25.670153,17.31499285,10.6954731,44.28087148,467.2322706,28.335107,4.181429223,24.15367778,22.12989879,11.5309962,22.12989879,10.8595296,908.7036037,149.5753439,16,64.86126849,433.6874718,67,433.6874718,67,7
77,L_maackii,100.222124,25.584234,15.04499396,10.11598835,44.48229479,464.9542726,25.52869392,2.786910007,22.74178391,20.03296005,8.775503023,20.03296005,8.775503023,836.8045189,146.21616,13,68.92330047,409.5137577,54,409.5137577,54,6
78,L_maackii,103.003972,25.275367,14.974964,9.556475934,40.84733527,465.3009846,25.84325945,2.44766405,23.3955954,19.9950777,8.687833503,19.9950777,8.687833503,898.0446625,177.0230488,12.02099123,83.05272118,494.5023688,41.02099123,494.5023688,41.02099123,10
79,L_maackii,100.307171,25.227208,17.28762799,10.35631598,41.97364001,490.2710861,28.67350466,4,24.67350466,22.35303618,10.57031851,22.35303618,10.57031851,873.6408631,156.0369566,13,73.97754389,446.5669499,52.03695662,446.5669499,52.03695662,10
80,L_maackii,102.74055,25.13638,15.33113412,8.913923416,39.60883774,469.3343089,25.70850159,3.203601953,22.50489964,20.32741468,8.973980335,20.32741468,8.973980335,919.0356,184.8173904,13,83.18121633,509.1343808,43.4506096,509.1343808,43.4506096,12
81,L_maackii,102.700013,25.012526,15.25468009,8.90902216,41.62872269,455.7293587,25.10085887,3.700000048,21.40085882,20.11769355,9.075195049,20.11769355,9.075195049,940.0078097,191.50468,13.00078487,84.0724092,526.0070249,44.00078487,526.0070249,44.00078487,9
82,L_maackii,103.989855,24.828524,14.84793233,9.022666023,40.25280674,487.3153806,25.26571293,2.851481415,22.41423152,20.0040007,8.175822932,20.0040007,8.175822932,1037.757729,192.4516541,15,81.8104153,567.3932518,50.45641178,567.3932518,50.45641178,12
83,L_maackii,103.400348,24.808853,15.01256633,9.176568252,40.79561699,473.8542993,25.39402401,2.900000095,22.49402392,20.01632338,8.550000032,20.01632338,8.550000032,939.2633475,179.0809158,13,82.60578399,518.1200717,44,518.1200717,44,11
84,L_maackii,102.114347,24.698913,15.90085387,9.358727597,41.46758814,458.3695658,26.18327639,3.614744027,22.56853237,20.70775116,9.644155124,20.70775116,9.644155124,884.0197893,176.1842293,12.24205072,83.49649006,488.8888693,40.86956,488.8888693,40.86956,12
85,L_maackii,103.267858,23.714286,20.14557872,9.348986747,44.3594736,429.3183226,29.57551637,8.5,21.07551637,24.36462806,14.30680334,24.40680323,14.30680334,944.0413208,210.0816816,6,92.03541627,571.2246416,35.24483919,479.6148405,35.24483919,13
